0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, OSO50 Temper rod, shapes","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '220 MPa', '31900 psi', '']","['Tensile Strength, Yield', '69.0 MPa@Strain 0.500 %', '10000 psi@Strain 0.500 %', '']","['Elongation at Break', '50 %', '50 %', 'In 50 mm, shapes']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, OSO50 Temper rod, shapes","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '220 MPa', '31900 psi', '']","['Tensile Strength, Yield', '69.0 MPa@Strain 0.500 %', '10000 psi@Strain 0.500 %', '']","['Elongation at Break', '50 %', '50 %', 'In 50 mm, shapes']"
1.25,0.025,"Fire-refined Tough Pitch Copper, UNS C12500, OSO50 Temper rod, shapes","['Selenium, Se', '<= 0.025 %', '<= 0.025 %', 'includes Te']","['Tensile Strength, Ultimate', '220 MPa', '31900 psi', '']","['Tensile Strength, Yield', '69.0 MPa@Strain 0.500 %', '10000 psi@Strain 0.500 %', '']","['Elongation at Break', '50 %', '50 %', 'In 50 mm, shapes']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Antimony, Sb', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
0.6,0.012,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Arsenic, As', '<= 0.012 %', '<= 0.012 %', '']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
0.15,0.003,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Bismuth, Bi', '<= 0.0030 %', '<= 0.0030 %', '']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
4994,99.88,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Copper, Cu', '>= 99.88 %', '>= 99.88 %', 'Includes Ag']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
0.2,0.004,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Lead, Pb', '<= 0.0040 %', '<= 0.0040 %', '']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
2.5,0.05,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Nickel, Ni', '<= 0.050 %', '<= 0.050 %', '']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
1.25,0.025,"Fire-refined Tough Pitch Copper, UNS C12500, H00 Temper flat products","['Selenium, Se', '<= 0.025 %', '<= 0.025 %', 'includes Te']","['Tensile Strength, Ultimate', '250 MPa', '36300 psi', '']","['Tensile Strength, Yield', '195 MPa@Strain 0.500 %', '28300 psi@Strain 0.500 %', '']","['Elongation at Break', '30 %', '30 %', 'In 50 mm']"
